age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25.0,INVALID,181814.0,11th,7.0,Married-civ-spouse,Adm-clerical,Own-child,White,INVALID,12345,text,40.0,United-States,INVALID
51.0,Private,163052.0,HS-grad,9.0,INVALID,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
35.0,Private,388252.0,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
62.0,?,144583.0,HS-grad,9.0,Married-civ-spouse,INVALID,Husband,INVALID,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,259496.0,HS-grad,216.0,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
27.0,Private,278736.0,5th-6th,216.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K.
53.0,IAVNDIL,91121.0,Masters,14.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,299.0,United-States,<=50K.
24.0,Private,122166.0,Some-college,216.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,299.0,gnIa,<=50K
58.0,Self-emp-not-inc,248841.0,HS-grad,216.0,Married-civ-spouse,,Husband,White,Male,15024.0,0.0,299.0,United-States,05>
39.0,Private,143445.0,HS-grad,12345,Married-civ-spouse,Other-service,Other-relative,Black,INVALID,0.0,0.0,40.0,United-States,<=50K
28.0,Private,89813.0,HS-grad,216.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K.
46.0,Private,186539.0,HS-grad,text,Divorced,Craft-repair,Other-relative,White,Male,0.0,0.0,48.0,United-States,INVALID
44.0,Local-gov,208528.0,moAd-scacs,,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
48.0,Self-emp-inc,275100.0,HS-grad,216.0,Married-civ-spouse,Exec-managerial,Husband,Weht,Male,0.0,0.0,70.0,evcGer,>50K.
20.0,?,210781.0,Some-college,216.0,Never-married,?,Own-child,INVALID,Female,0.0,0.0,10.0,INVALID,<=50K
62.0,?,191118.0,Some-college,216.0,Married-civ-spouse,?,Husband,INVALID,Male,7298.0,0.0,40.0,United-States,>50K
49.0,Self-emp-inc,172246.0,Bachelors,216.0,Married-civ-spouse,Sales,Husband,White,Male,99999.0,0.0,40.0,United-States,>50K.
290.0,Private,429507.0,,12.0,MARRIED-CIV-SPOUSE,sarnasd-lelnHcree,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
290.0,Private,197130.0,HS-GRAD,9.0,Never-married,Sales,INVALID,White,Female,0.0,0.0,30.0,United-States,<=50K
20.0,Private,190772.0,Assoc-acdm,12.0,Never-married,Other-service,Not-in-family,INVALID,Female,0.0,0.0,40.0,United-States,<=0K
290.0,INVALID,54052.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,,United-States,>50K
